Kategori,Model,Slug,Varian,Harga Referensi (Rp),Dasar Harga,Warna Tampil,Catatan,Sumber Yamaha,Tanggal Akses,Path Gambar Placeholder
MATIC,FreeGo 125,freego-125,Standard,22865000,Harga Rekomendasi OTR Jakarta,Magma Black,,https://www.yamaha-motor.co.id/product/freego-125/,2026-08-07,images/produk/freego-125.webp
MATIC,Gear 125,gear-125,Standard,19495000,Harga Rekomendasi OTR Jakarta,Dull Blue,,https://www.yamaha-motor.co.id/product/gear-125/,2026-08-07,images/produk/gear-125.webp
MATIC,Gear Ultima,gear-ultima,Hybrid Smart,22785000,Harga Rekomendasi OTR Jakarta,Magma Black,,https://www.yamaha-motor.co.id/product/gear-ultima/,2026-08-07,images/produk/gear-ultima.webp
MATIC,Gear Ultima,gear-ultima,Hybrid Solid,20660000,Harga Rekomendasi OTR Jakarta,Magma Black,,https://www.yamaha-motor.co.id/product/gear-ultima/,2026-08-07,images/produk/gear-ultima.webp
MATIC,Gear Ultima,gear-ultima,Hybrid,20240000,Harga Rekomendasi OTR Jakarta,Magma Black,,https://www.yamaha-motor.co.id/product/gear-ultima/,2026-08-07,images/produk/gear-ultima.webp
MATIC,Mio M3 125,mio-m3-125,Mio M3 125,18905000,Harga Rekomendasi OTR Jakarta,Metallic Cyan,,https://www.yamaha-motor.co.id/product/mio-m3/,2026-08-07,images/produk/mio-m3-125.webp
MATIC,X-Ride 125,x-ride-125,X-Ride 125,21135000,Harga Rekomendasi OTR Jakarta,Blue,,https://www.yamaha-motor.co.id/product/x-ride/,2026-08-07,images/produk/x-ride-125.webp
SPORT,MT-15,mt-15,MT-15,41215000,Harga Rekomendasi OTR Jakarta,Metallic Light Grey,,https://www.yamaha-motor.co.id/product/mt15/,2026-08-07,images/produk/mt-15.webp
SPORT,MT-25,mt-25,MT-25,66450000,Harga Rekomendasi OTR Jakarta,Metallic Light Grey,,https://www.yamaha-motor.co.id/product/mt25/,2026-08-07,images/produk/mt-25.webp
SPORT,R15,r15,"R15M C ""ABS"" 70th Livery",47100000,Harga Rekomendasi OTR Jakarta,Icon Performance,,https://www.yamaha-motor.co.id/product/all-new-R15-connected/,2026-08-07,images/produk/r15.webp
SPORT,R15,r15,R15M Connected/ABS,46950000,Harga Rekomendasi OTR Jakarta,Icon Performance,,https://www.yamaha-motor.co.id/product/all-new-R15-connected/,2026-08-07,images/produk/r15.webp
SPORT,R15,r15,R15 Connected,42200000,Harga Rekomendasi OTR Jakarta,Icon Performance,,https://www.yamaha-motor.co.id/product/all-new-R15-connected/,2026-08-07,images/produk/r15.webp
SPORT,R25,r25,R25,76250000,Harga Rekomendasi OTR Jakarta,Racing Blue,,https://www.yamaha-motor.co.id/product/r25/,2026-08-07,images/produk/r25.webp
SPORT,VIXION 155,vixion-155,VIXION R 155,34020000,Harga Rekomendasi OTR Jakarta,Matte Black,,https://www.yamaha-motor.co.id/product/vixion/,2026-08-07,images/produk/vixion-155.webp
SPORT,VIXION 155,vixion-155,VIXION 150,31450000,Harga Rekomendasi OTR Jakarta,Matte Black,Nama model di halaman kategori: VIXION 155; varian resmi juga memuat VIXION 150.,https://www.yamaha-motor.co.id/product/vixion/,2026-08-07,images/produk/vixion-155.webp
SPORT,XSR 155,xsr-155,XSR 155 70th Livery,40665000,Harga Rekomendasi OTR Jakarta,Metallic Brown Authentic,,https://www.yamaha-motor.co.id/product/xsr-155/,2026-08-07,images/produk/xsr-155.webp
SPORT,XSR 155,xsr-155,XSR 155,40265000,Harga Rekomendasi OTR Jakarta,Metallic Brown Authentic,,https://www.yamaha-motor.co.id/product/xsr-155/,2026-08-07,images/produk/xsr-155.webp
OFF-ROAD,WR155R,wr155r,WR155R,41275000,Harga Rekomendasi OTR Jakarta,Blue,,https://www.yamaha-motor.co.id/product/wr155r/,2026-08-07,images/produk/wr155r.webp
OFF-ROAD,YZ125X,yz125x,YZ125X,99800000,Harga Rekomendasi Off The Road,Blue,Harga belum termasuk pajak/registrasi jalan.,https://www.yamaha-motor.co.id/product/yz125x/,2026-08-07,images/produk/yz125x.webp
OFF-ROAD,YZ250FX,yz250fx,YZ250FX,140000000,Harga Rekomendasi Off The Road,Blue,Harga belum termasuk pajak/registrasi jalan.,https://www.yamaha-motor.co.id/product/yz250fx/,2026-08-07,images/produk/yz250fx.webp
OFF-ROAD,YZ250X,yz250x,YZ250X,132000000,Harga Rekomendasi Off The Road,Blue,Harga belum termasuk pajak/registrasi jalan.,https://www.yamaha-motor.co.id/product/yz250x/,2026-08-07,images/produk/yz250x.webp
MOPED,Jupiter Z1,jupiter-z1,Jupiter Z1,22580000,Harga Rekomendasi OTR Jakarta,Metallic Cyan,,https://www.yamaha-motor.co.id/product/jupiter-z1/,2026-08-07,images/produk/jupiter-z1.webp
MOPED,MX King 150,mx-king-150,MX King 150 Prima Pramac Livery,29900000,Harga Rekomendasi OTR Jakarta,Blue,Situs menampilkan angka tanpa awalan “Rp”; dinormalisasi sebagai rupiah.,https://www.yamaha-motor.co.id/product/mx-king-150/,2026-08-07,images/produk/mx-king-150.webp
MOPED,MX King 150,mx-king-150,MX King 150 70th Livery,29400000,Harga Rekomendasi OTR Jakarta,Blue,,https://www.yamaha-motor.co.id/product/mx-king-150/,2026-08-07,images/produk/mx-king-150.webp
MOPED,MX King 150,mx-king-150,MX King 150,29200000,Harga Rekomendasi OTR Jakarta,Blue,,https://www.yamaha-motor.co.id/product/mx-king-150/,2026-08-07,images/produk/mx-king-150.webp
MOPED,Vega Force,vega-force,Vega Force,19900000,Harga Rekomendasi OTR Jakarta,Black Yellow,,https://www.yamaha-motor.co.id/product/vega-force/,2026-08-07,images/produk/vega-force.webp
